"zip","lat","lon","city","abr","county","type"
23661,37.03,-76.39,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23662,37.13,-76.37,"POQUOSON","VA","POQUOSON CITY","STANDARD"
23663,37.03,-76.32,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23664,37.05,-76.33,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23665,37.08,-76.36,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23666,37.06,-76.37,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23667,37.02,-76.33,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23668,37.02,-76.34,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23669,37.05,-76.35,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23670,37.07,-76.39,"HAMPTON","VA","HAMPTON CITY","STANDARD"
23681,37.07,-76.39,"HAMPTON","VA","HAMPTON CITY","UNIQUE"
23690,37.23,-76.52,"YORKTOWN","VA","YORK","STANDARD"
23691,37.2,-76.49,"YORKTOWN","VA","YORK","STANDARD"
23692,37.17,-76.46,"YORKTOWN","VA","YORK","STANDARD"
23693,37.15,-76.45,"YORKTOWN","VA","YORK","STANDARD"
23694,37.22,-76.56,"LACKEY","VA","YORK","PO BOX ONLY"
23696,37.19,-76.43,"SEAFORD","VA","YORK","STANDARD"
23701,36.81,-76.37,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23702,36.8,-76.33,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23703,36.87,-76.38,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23704,36.82,-76.32,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23705,36.87,-76.36,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23707,36.84,-76.35,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23708,36.87,-76.36,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23709,36.87,-76.36,"PORTSMOUTH","VA","PORTSMOUTH CITY","STANDARD"
23801,37.23,-77.33,"FORT LEE","VA","PRINCE GEORGE","STANDARD"
23803,37.22,-77.39,"PETERSBURG","VA","PETERSBURG CITY","STANDARD"
23804,37.2,-77.39,"PETERSBURG","VA","PETERSBURG CITY","STANDARD"
23805,37.19,-77.39,"PETERSBURG","VA","PETERSBURG CITY","STANDARD"
23806,37.2,-77.39,"PETERSBURG","VA","PETERSBURG CITY","UNIQUE"
23821,36.86,-77.89,"ALBERTA","VA","BRUNSWICK","STANDARD"
23822,37.07,-77.65,"AMMON","VA","DINWIDDIE","STANDARD"
23824,37.12,-77.98,"BLACKSTONE","VA","NOTTOWAY","STANDARD"
23827,36.61,-77.21,"BOYKINS","VA","SOUTHAMPTON","STANDARD"
23828,36.6,-77.29,"BRANCHVILLE","VA","SOUTHAMPTON","STANDARD"
23829,36.72,-77.24,"CAPRON","VA","SOUTHAMPTON","STANDARD"
23830,37.02,-77.45,"CARSON","VA","DINWIDDIE","STANDARD"
23831,37.32,-77.45,"CHESTER","VA","CHESTERFIELD","STANDARD"
23832,37.39,-77.61,"CHESTERFIELD","VA","CHESTERFIELD","STANDARD"
23833,37.17,-77.67,"CHURCH ROAD","VA","DINWIDDIE","STANDARD"
23834,37.26,-77.4,"COLONIAL HEIGHTS","VA","COLONIAL HEIGHTS CITY","STANDARD"
